
DIR : SSE prop : 5.16%
DIR : ESE prop : 12.1%
DIR : S prop : 2.27%
DIR : SSW prop : 0.30%
DIR : WSW prop : 0.92%
DIR : SW prop : 0.61%
DIR : W prop : 2.09%
DIR : NW prop : 12.9%
DIR : NNW prop : 8.48%
DIR : WNW prop : 9.22%
DIR : CALM prop : 0.30%
